,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
184,178,Tedric Thompson,SEA,23,FS,14,10,1,0,0,0,3,1,0,0,0,0,0.0,57,41,16,0,0,
185,179,Kenny Vaccaro,TEN,27,SS,13,13,1,0,0,0,4,,,,,,2.0,58,41,17,3,4,
186,Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
187,180,Denzel Ward *,CLE,21,LCB,13,12,3,26,0,26,11,1,0,2,29,0,0.0,53,41,12,5,0,
188,181,Kentrell Brice,GNB,24,FS,14,10,0,0,0,0,2,,,,,,1.0,50,40,10,1,0,
189,182,Michael Davis ,LAC,23,LCB,16,9,0,0,0,0,8,1,0,0,0,0,0.0,50,40,10,0,0,
190,183,Jordan Evans,CIN,23,rlb,14,5,1,7,0,7,3,,,,,,1.5,61,40,21,1,2,
191,184,Marcus Gilchrist,OAK,30,SS,16,16,3,2,0,2,6,,,,,,0.0,58,40,18,0,0,
192,185,Stephon Gilmore*+,NWE,28,RCB,16,16,2,0,0,0,20,2,0,1,0,0,1.0,45,40,5,1,1,
193,186,Chris Harris Jr.*,DEN,29,RCB,12,12,3,68,1,53,10,,,,,,1.0,49,40,9,1,1,
194,187,Isaiah Johnson,TAM,26,,15,4,1,6,0,6,2,0,0,1,0,0,0.0,48,40,8,0,0,
195,188,Josh Jones,GNB,24,fs,13,5,0,0,0,0,2,,,,,,1.0,55,40,15,2,1,
196,189,Josh Norman,WAS,31,RCB,16,16,3,79,0,40,9,3,0,1,0,0,0.0,64,40,24,1,0,
197,190,Coty Sensabaugh,PIT,30,RCB,15,10,0,0,0,0,6,1,0,0,0,0,0.0,45,40,5,1,0,
198,191,Darius Slay*,DET,27,LCB,15,15,3,107,1,67,17,,,,,,0.0,43,40,3,1,0,
199,192,K'Waun Williams,SFO,27,DB,14,11,0,0,0,0,2,,,,,,0.0,45,40,5,3,0,
200,193,Tramon Williams,GNB,35,SS,16,16,0,0,0,0,2,0,3,1,0,0,0.0,54,40,14,0,0,
201,194,Kenny Young,BAL,24,,16,3,0,0,0,0,1,1,0,1,0,0,2.5,51,40,11,4,7,
202,195,Anthony Barr*,MIN,26,RLB,13,13,0,0,0,0,2,1,0,0,0,0,3.0,55,39,16,8,4,
203,196,Bryce Callahan,CHI,27,DB,13,10,2,12,0,12,6,,,,,,2.0,45,39,6,6,5,
204,197,Brandon Carr,BAL,32,LCB,16,16,2,26,0,32,11,,,,,,0.0,45,39,6,0,1,
