,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
84,3,81,WAS,Derrick Dockery,G,22,2012,0,0,7,42,30,141,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
85,3,82,CAR,Ricky Manning,DB,22,2008,0,0,1,22,14,84,0,0,0,0,0,0,0,0,0,0,0,223,14,4.0,UCLA,College Stats
86,3,83,OAK,Sam Williams,DE,23,2010,0,0,1,13,13,84,0,0,0,0,0,0,0,0,0,0,0,104,1,1.0,Fresno St.,College Stats
87,3,84,CLE,Chris Crocker,DB,23,2013,0,0,7,42,9,151,0,0,0,0,0,1,21,0,0,0,0,427,15,14.5,Marshall,College Stats
88,3,85,NYJ,B.J. Askew,FB,23,2009,0,0,1,4,1,83,0,0,0,0,0,35,116,2,45,317,0,31,,,Michigan,College Stats
89,3,86,NOR,Cie Grant,LB,23,2003,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,,,Ohio St.,College Stats
90,3,87,MIA,Taylor Whitley,G,23,2005,0,0,1,4,4,18,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,
91,3,88,HOU,Dave Ragone,QB,23,2003,0,0,0,1,1,2,20,40,135,0,1,6,51,0,1,-5,0,,,,Louisville,College Stats
92,3,89,SFO,Andrew Williams,DE,24,2004,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,10,,,Miami (FL),College Stats
93,3,90,IND,Donald Strickland,DB,22,2011,0,0,0,12,5,89,0,0,0,0,0,0,0,0,0,0,0,204,2,4.0,Colorado,College Stats
94,3,91,NYG,Visanthe Shiancoe,TE,23,2013,0,0,5,23,1,149,0,0,0,0,0,0,0,0,245,2679,27,,,,Morgan St.,
95,3,92,KAN,Julian Battle,DB,22,2004,0,0,0,2,2,26,0,0,0,0,0,0,0,0,0,0,0,24,,,Tennessee,College Stats
96,3,93,TEN,Chris Brown,RB,22,2009,0,0,2,23,22,68,0,1,0,0,1,722,3024,19,90,741,2,,,,Colorado,College Stats
97,3,94,BUF,Angelo Crowell,LB,22,2007,0,0,3,19,19,65,0,0,0,0,0,0,0,0,0,0,0,233,5,7.0,Virginia,College Stats
98,3,95,PHI,Billy McMullen,WR,23,2008,0,0,0,5,2,49,0,0,0,0,0,0,0,0,52,725,3,4,,,Virginia,College Stats
99,3,96,OAK,Justin Fargas,FB,23,2009,0,0,2,19,19,92,0,0,0,0,0,827,3369,10,77,523,0,20,,,USC,College Stats
